cell,patient,predict
Tfh,SUB118164,725.1756881
Tfh,SUB118167,674.6011777
Tfh,SUB118168,524.4810699
Tfh,SUB118169,125.2010998
Tfh,SUB118170,1015.898753
Tfh,SUB118171,755.082285
Tfh,SUB118174,1072.829011
Tfh,SUB118176,1021.18742
Tfh,SUB118183,994.3989648
Th1 cells,SUB118148,511.7248758
Th1 cells,SUB118151,486.6551119
Th1 cells,SUB118153,388.0178419
Th1 cells,SUB118155,526.1436397
Th1 cells,SUB118156,722.3736455
Th1 cells,SUB118157,632.2892373
Th1 cells,SUB118158,453.8492483
Th1 cells,SUB118161,513.1369526
Th1 cells,SUB118164,513.9894986
Th1 cells,SUB118167,627.0340447
Th1 cells,SUB118168,456.2877373
Th1 cells,SUB118169,49.23299807
Th1 cells,SUB118170,869.4682422
Th1 cells,SUB118171,680.1281784
Th1 cells,SUB118174,692.6616886
Th1 cells,SUB118176,522.9461982
Th1 cells,SUB118183,887.0337006
Th17 cells,SUB118148,309.8117957
Th17 cells,SUB118151,208.9952789
Th17 cells,SUB118153,169.7664026
Th17 cells,SUB118155,165.9597808
Th17 cells,SUB118156,295.0466119
Th17 cells,SUB118157,169.3374663
Th17 cells,SUB118158,404.7653142
Th17 cells,SUB118161,345.8939663
Th17 cells,SUB118164,406.3582617
Th17 cells,SUB118167,242.0670561
Th17 cells,SUB118168,164.4277332
Th17 cells,SUB118169,31.23663527
Th17 cells,SUB118170,230.1685314
Th17 cells,SUB118171,300.3757598
Th17 cells,SUB118174,295.9809988
Th17 cells,SUB118176,239.2985449
Th17 cells,SUB118183,155.6728639
transitional B cell,SUB118148,105.1608065
transitional B cell,SUB118151,18.06457806
transitional B cell,SUB118153,94.16624692
transitional B cell,SUB118155,29.22153342
transitional B cell,SUB118156,32.36019167
transitional B cell,SUB118157,38.54746337
transitional B cell,SUB118158,28.9210614
transitional B cell,SUB118161,96.13288568
transitional B cell,SUB118164,16.14310037
transitional B cell,SUB118167,48.81649298
transitional B cell,SUB118168,50.230443
transitional B cell,SUB118169,0
transitional B cell,SUB118170,125.8721223
transitional B cell,SUB118171,291.3546052
transitional B cell,SUB118174,517.7430617
transitional B cell,SUB118176,190.5840132
transitional B cell,SUB118183,599.83881
